pn,0,0,0.48283137373023005
pn,0,1,0.26533976394183817
pn,1,2,0.48283137373023005
pn,2,3,0.6897591053289001
pn,2,4,0.6897591053289001
pn,2,5,0.6897591053289001
pn,2,6,0.6897591053289001
pn,2,7,0.6897591053289001
pn,2,8,0.6897591053289001
pn,2,9,0.6897591053289001
pn,2,10,0.6897591053289001
pn,2,11,0.6897591053289001
pn,2,12,0.6897591053289001
pn,2,13,0.5747992544407501
pn,2,14,0.5747992544407501
pn,2,15,0.5747992544407501
pn,2,16,0.5747992544407501
pn,2,17,0.5747992544407501
pn,3,18,0.6437751649736402
pn,3,19,0.4014127499247403
pn,4,20,0.7591688266198586
pn,4,21,0.607335061295887
pn,4,22,0.5769683082310925
pn,4,23,0.5344548539403805
pn,4,24,0.4858680490367095
pn,4,25,0.440317919439518
pn,4,26,0.440317919439518
pn,4,27,0.39476778984232647
pn,4,28,0.39476778984232647
pn,4,29,0.38869443922936764
